field_id,page_no,section,field_name,field_label,data_type,collection_control,requiredness,required_when,description,allowed_values_or_format
KY-001,1,A. Company and application details,application_number,Application no.,string,text,Required,Every KYC record,Internal application reference assigned to this KYC submission.,Alphanumeric identifier; preserve leading zeros
KY-002,1,A. Company and application details,customer_id,Customer ID,string,text,Required,Every KYC record,Unique customer/account identifier used by the company.,Alphanumeric identifier
KY-003,1,A. Company and application details,branch,Branch,string,text,Required,Every KYC record,Branch or office handling the application.,Free text; normalize against branch master when available
KY-004,1,A. Company and application details,relationship_officer,Relationship officer,string,text,Required,Every KYC record,Employee responsible for the customer relationship.,Person name or employee code
KY-005,1,A. Company and application details,application_date,Date,date,text,Required,Every KYC record,Date the application/KYC record was opened or completed.,DD/MM/YYYY
KY-006,1,B. Nature of relationship requested,relationship_type,Nature of relationship requested,enum,checkbox,Required,Every KYC record,Customer's requested gold-product relationship.,Outright purchase with immediate delivery | Allocated gold held in custody | Unallocated gold balance | Performance-linked arrangement | Other
KY-007,1,B. Nature of relationship requested,relationship_type_other,Other relationship type,string,text,Conditional,relationship_type = Other,Free-text product relationship where Other is selected.,Free text
KY-008,1,C. Applicant type and status,applicant_type,Applicant type and status,enum,checkbox,Required,Every KYC record,Legal/customer category used to decide which sections and documents apply.,Resident individual | NRI/OCI | Sole proprietor | Partnership/LLP | Private company | Trust/HUF | Other
KY-009,1,C. Applicant type and status,applicant_type_other,Other applicant type,string,text,Conditional,applicant_type = Other,Free-text customer category where Other is selected.,Free text
KY-010,1-11,Document header/footer,customer_initials,Customer initials,string,initials,Required,Each page where printed,Applicant initials confirming page-level review of the KYC record.,Initials/signature mark
KY-011,2,1. Individual / authorised signatory details,review_type,KYC review type,multi_enum,checkbox,Required,Every individual/signatory record,Reason/status for this KYC collection.,New customer | KYC update | Enhanced due diligence | Periodic review | Beneficial-owner update
KY-012,2,1. Individual / authorised signatory details,full_legal_name,Full legal name,string,text,Required,"Individual, proprietor, authorised signatory, or UBO",Legal name exactly as on PAN.,Free text; match PAN name where verification data exists
KY-013,2,1. Individual / authorised signatory details,father_spouse_name,Father / spouse name,string,text,Conditional,Individual/signatory KYC where required by policy,Parent or spouse name used for identity verification.,Free text
KY-014,2,1. Individual / authorised signatory details,date_of_birth,Date of birth,date,text,Required,"Individual, signatory, and UBO",Person's birth date.,DD/MM/YYYY
KY-015,2,1. Individual / authorised signatory details,nationality_residential_status,Nationality / residential status,string,text,Required,Individual/signatory KYC,Nationality and resident/non-resident status.,Free text; preferably country plus status
KY-016,2,1. Individual / authorised signatory details,pan,PAN,string,text,Required,Individual/signatory; entity and UBO as applicable,Permanent Account Number provided with self-attested copy.,"Indian PAN: 5 letters, 4 digits, 1 letter"
KY-017,2,1. Individual / authorised signatory details,aadhaar_vid,Aadhaar / VID,string,text,Optional,Only where voluntarily supplied or lawfully required,Aadhaar number or Virtual ID.,Numeric Aadhaar/VID; masked copy where appropriate
KY-018,2,1. Individual / authorised signatory details,alternate_ovd,Passport / voter ID / driving licence,string,text,Conditional,When used as identity/address OVD,"Alternative officially valid document type, number, and expiry.",Document type; number; expiry date
KY-019,2,1. Individual / authorised signatory details,occupation_employer_business,Occupation / employer / business,string,text,Required,Individual/signatory KYC,Occupation and employer or business information.,Free text
KY-020,2,1. Individual / authorised signatory details,income_networth_band,Annual income / net worth band,string,text,Required,Individual/signatory KYC,Declared annual income or net-worth band.,Configured bands or free text
KY-021,2,1. Individual / authorised signatory details,mobile,Mobile,phone,text,Required,Individual/signatory KYC,Customer mobile contact number.,E.164 preferred; retain country code
KY-022,2,1. Individual / authorised signatory details,email,Email,email,text,Required,Individual/signatory KYC,Customer email address.,Valid email address
KY-023,2,1. Individual / authorised signatory details,current_residential_address,Current residential address,address,text,Required,Individual/signatory KYC,Current residence address.,Full postal address
KY-024,2,1. Individual / authorised signatory details,permanent_address,Permanent address,address,text,Conditional,When different from current address or required by policy,Permanent residence address.,Full postal address
